year,district,Crime Type,Total Crime
2011,Kasur,burglaries,237
2011,Lahore,burglaries,3661
2011,Nankana Sahib,burglaries,120
2011,Sheikhupura,burglaries,477
2011,Multan Division,burglaries,1416
2011,Khanewal,burglaries,312
2011,Lodhran,burglaries,113
2011,Multan,burglaries,751
2011,Vehari,burglaries,240
2011,Rawalpindi Div.,burglaries,917
2011,Attock,burglaries,126
2011,Chakwal,burglaries,132
2011,Jhelum,burglaries,82
2011,Rawalpindi,burglaries,577
2011,Sahiwal Division,burglaries,1082
2011,Sahiwal,burglaries,275
2011,Okara,burglaries,558
2011,Pakpattan,burglaries,249
2011,Sargodha Div.,burglaries,842
2011,Bhakkar,burglaries,201
2011,Khushab,burglaries,66
2011,Mianwali,burglaries,127
2011,Sargodha,burglaries,448
2012,PUNJAB,burglaries,14686
2012,Bahawalpur Div.,burglaries,1539
2012,Bahawalnagar,burglaries,263
2012,Bahawalpur,burglaries,628
2012,Rahim Yar Khan,burglaries,648
2012,D.G.Khan Division,burglaries,967
2012,D.G.Khan,burglaries,153
2012,Layyah,burglaries,123
2012,Muzaffargarh,burglaries,445
2012,Rajanpur,burglaries,246
2012,Faisalabad Div.,burglaries,1382
2012,Faisalabad,burglaries,701
2012,Chiniot,burglaries,263
2012,Jhang,burglaries,177
2012,T.T.Singh,burglaries,241
2012,Gujranwala Div.,burglaries,1417
2012,Gujranwala,burglaries,637
2012,Gujrat,burglaries,234
2012,Hafizabad,burglaries,108
2012,Mandi Baha-ud-Din,burglaries,117
2012,Narowal,burglaries,81
2012,Sialkot,burglaries,240
2012,Lahore Division,burglaries,5036
2012,Kasur,burglaries,230
2012,Lahore,burglaries,4324
2012,Nankana Sahib,burglaries,114
2012,Sheikhupura,burglaries,368
2012,Multan Division,burglaries,1343
2012,Khanewal,burglaries,329
2012,Lodhran,burglaries,114
2012,Multan,burglaries,712
2012,Vehari,burglaries,188
2012,Rawalpindi Div.,burglaries,850
2012,Attock,burglaries,119
2012,Chakwal,burglaries,79
2012,Jhelum,burglaries,88
2012,Rawalpindi,burglaries,564
2012,Sahiwal Division,burglaries,1342
2012,Sahiwal,burglaries,368
2012,Okara,burglaries,677
2012,Pakpattan,burglaries,297
2012,Sargodha Div.,burglaries,810
2012,Bhakkar,burglaries,180
2012,Khushab,burglaries,61
2012,Mianwali,burglaries,96
2012,Sargodha,burglaries,473
2013,PUNJAB,burglaries,13928
2013,Bahawalpur Div.,burglaries,1325
2013,Bahawalnagar,burglaries,254
2013,Bahawalpur,burglaries,469
2013,Rahim Yar Khan,burglaries,602
2013,D.G.Khan Division,burglaries,962
2013,D.G.Khan,burglaries,169
2013,Layyah,burglaries,77
2013,Muzaffargarh,burglaries,442
2013,Rajanpur,burglaries,274
2013,Faisalabad Div.,burglaries,1526
2013,Faisalabad,burglaries,776
2013,Chiniot,burglaries,250
2013,Jhang,burglaries,250
2013,T.T.Singh,burglaries,250
2013,Gujranwala Div.,burglaries,1211
2013,Gujranwala,burglaries,506
2013,Gujrat,burglaries,194
2013,Hafizabad,burglaries,95
2013,Mandi Baha-ud-Din,burglaries,111
2013,Narowal,burglaries,59
2013,Sialkot,burglaries,246
2013,Lahore Division,burglaries,4807
2013,Kasur,burglaries,229
2013,Lahore,burglaries,4100
2013,Nankana Sahib,burglaries,113
2013,Sheikhupura,burglaries,365
2013,Multan Division,burglaries,1465
2013,Khanewal,burglaries,341
2013,Lodhran,burglaries,124
2013,Multan,burglaries,756
2013,Vehari,burglaries,244
2013,Rawalpindi Div.,burglaries,789
2013,Attock,burglaries,84
2013,Chakwal,burglaries,95
2013,Jhelum,burglaries,101
2013,Rawalpindi,burglaries,509
2013,Sahiwal Division,burglaries,1205
2013,Sahiwal,burglaries,364
2013,Okara,burglaries,599
2013,Pakpattan,burglaries,242
2013,Sargodha Div.,burglaries,638
2013,Bhakkar,burglaries,118
2013,Khushab,burglaries,55
2013,Mianwali,burglaries,86
2013,Sargodha,burglaries,379
2014,PUNJAB,burglaries,14247
2014,Bahawalpur Div.,burglaries,1162
