district,Crime Type,year,Total Crime
Swat,Child Lifting,2013,1
Swat,Child Lifting,2014,4
Swat,Child Lifting,2016,2
Swat,Child Lifting,2017,2
Swat,Child Lifting,2018,1
Swat,Child Lifting,2022,3
Swat,Motor Car Theft,2012,4
Swat,Motor Car Theft,2013,9
Swat,Motor Car Theft,2014,9
Swat,Motor Car Theft,2015,13
Swat,Motor Car Theft,2016,18
Swat,Motor Car Theft,2017,15
Swat,Motor Car Theft,2018,34
Swat,Motor Car Theft,2020,11
Swat,Motor Car Theft,2022,30
Swat,Car Snatching,2012,2
Swat,Car Snatching,2013,2
Swat,Car Snatching,2014,3
Swat,Car Snatching,2016,1
Swat,Car Snatching,2022,1
Swat,Motor Cycle Theft,2012,10
Swat,Motor Cycle Theft,2013,12
Swat,Motor Cycle Theft,2014,8
Swat,Motor Cycle Theft,2015,4
Swat,Motor Cycle Theft,2016,25
Swat,Motor Cycle Theft,2017,13
Swat,Motor Cycle Theft,2018,15
Swat,Motor Cycle Theft,2020,13
Swat,Motor Cycle Theft,2022,68
Tank,MURDER,2012,42
Tank,MURDER,2013,74
Tank,MURDER,2014,78
Tank,MURDER,2015,55
Tank,MURDER,2016,48
Tank,MURDER,2017,57
Tank,MURDER,2018,62
Tank,MURDER,2020,58
Tank,Kidnapping Ransom,2013,2
Tank,Kidnapping Ransom,2014,1
Tank,Kidnapping Ransom,2022,1
Tank,Child Lifting,2014,1
Tank,Child Lifting,2018,1
Tank,Child Lifting,2022,2
Tank,Motor Car Theft,2017,1
